MemFullSize:    67108864 kB
MemTotal:       65858108 kB
MemFree:        55792000 kB
MemAvailable:   64492240 kB
Buffers:          169924 kB
Cached:          8826644 kB
SwapCached:            0 kB
Active:          1255776 kB
Inactive:        7774724 kB
Active(anon):      34112 kB
Inactive(anon):     1468 kB
Active(file):    1221664 kB
Inactive(file):  7773256 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              4564 kB
Writeback:             0 kB
AnonPages:         33564 kB
Mapped:            40128 kB
Shmem:              1844 kB
KReclaimable:     357184 kB
Slab:             408704 kB
SReclaimable:     357184 kB
SUnreclaim:        51520 kB
KernelStack:       16272 kB
PageTables:         2352 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    32666908 kB
Committed_AS:      52968 kB
VmallocTotal:   17179869184 kB
VmallocUsed:        9256 kB
VmallocChunk:          0 kB
Percpu:             2240 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:     256
HugePages_Free:      256
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:          524288 kB
