    BusSpeed e2k elbrus-v6 optimized Thu Jan 20 17:58:54 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  10652  11361  14104  15205  16524  17312
      32  14505  14104  13280  16459  17240  17696
      64  13523  11089  12483  16341  17335  17639
     128  11130   7137   6719   7983   9068  12687
     256  10154   6966   6340   7996   9097  12709
     512   8121   5606   5911   7269   8615  11913
    1024   4430   3091   4543   5231   6969   9280
    4096   2992   1899   3339   3637   5320   6803
   16384   2958   1899   3343   3630   5317   6773
   65536   1141    631   1241   1014   1885   2092
