    BusSpeed loongarch64 loongarch64 optimized Mon Dec 12 16:07:02 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  11025  10171  11793  12022  12064  12085
      32  12291  11286  11833  12063  12084  12061
      64   8409   8249  11582  11736  11714  11840
     128   3457   3469   5748   8691   8780   9412
     256   3452   3470   5794   8708   8787   9414
     512   1691   1687   3852   6319   7822   9403
    1024   1761   1753   4050   6728   8229   9511
    4096   1644   1643   3797   6411   7680   9642
   16384   1663   1664   3852   6564   7951   9656
   65536    406    408    809   1754   2875   4921
