MemTotal:        3527500 kB
MemFree:          207872 kB
MemAvailable:    3149764 kB
Buffers:          102944 kB
Cached:          2879192 kB
SwapCached:            0 kB
Active:          1507088 kB
Inactive:        1506664 kB
Active(anon):     235712 kB
Inactive(anon):    31684 kB
Active(file):    1271376 kB
Inactive(file):  1474980 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         31632 kB
Mapped:            29764 kB
Shmem:            235788 kB
KReclaimable:     232168 kB
Slab:             284788 kB
SReclaimable:     232168 kB
SUnreclaim:        52620 kB
KernelStack:        1424 kB
PageTables:         1140 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1763748 kB
Committed_AS:     443608 kB
VmallocTotal:   67108863 kB
VmallocUsed:        7344 kB
VmallocChunk:          0 kB
Percpu:              248 kB
