    BusSpeed riscv64 rv64g-opt optimized Sat Sep  3 22:30:54 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3035   3311   3530   4178   4157   4540
      32    722   1034   1449   2144   3024   3575
      64    527    742   1229   1832   2721   3289
     128    373    536    928   1354   2238   2854
     256    352    502    880   1300   2182   2792
     512    354    504    872   1298   2179   2795
    1024    355    504    874   1300   2179   2794
    4096    130    236    392    758   1668   2707
   16384    131    234    386    733   1613   2656
   65536    132    235    386    735   1619   2650
