    BusSpeed riscv64 rv64g optimized Sat Sep  3 22:35:13 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3254   3316   3603   4171   4151   4527
      32   1654   2231   2577   3452   3945   4324
      64    585    823   1302   1858   2707   3305
     128    383    546    931   1394   2255   2885
     256    357    513    889   1303   2196   2804
     512    360    514    886   1301   2196   2804
    1024    361    512    887   1302   2191   2802
    4096    137    228    392    772   1658   2708
   16384    135    228    387    741   1603   2654
   65536    135    231    389    743   1608   2655
