    BusSpeed riscv64 rv64g-opt optimized Sat Sep  3 22:29:15 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3243   3289   3590   4134   4156   4542
      32    876   1308   1655   2247   3123   3692
      64    814   1129   1652   2235   3032   3616
     128    353    506    878   1298   2191   2798
     256    352    500    878   1299   2174   2792
     512    355    504    880   1302   2176   2777
    1024    355    504    875   1302   2178   2792
    4096    129    236    393    760   1668   2706
   16384    131    231    386    733   1614   2652
   65536    132    230    387    735   1617   2654
