 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Sep  4 01:38:25 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7615   7865   7619   7621   7631   6118   6612   3445   6016
      16    7634   7892   7642   7625   7643   6126   6511   3463   6057
      32    5129   5108   6520   5381   5006   4316   6874   3602   6249
      64    5871   5171   4586   5962   4918   3526   5868   3345   5805
     128    4713   4070   5919   4928   3746   3485   5922   3308   5544
     256    5248   3917   6122   5145   3452   5144   6272   3408   5978
     512    5362   3973   6308   5309   3466   5335   6309   3416   6053
    1024    5320   3911   6233   5290   3446   5070   6315   3420   5986
    2048    4332   1917   5907   4317   1359   3540   6089   3415   5574
    4096    3087   1355   5304   3102    991   2738   4495   3369   4261
    8192    3042   1444   3112   3048   1028   3402   3376   3196   3305

                End of test Sun Sep  4 01:38:41 2022

