    BusSpeed riscv64 rv64g-c910 optimized Sat Sep  3 22:26:45 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3238   3313   3592   4181   4156   4542
      32   1086   1419   1827   2512   3240   3799
      64    586    845   1415   2003   2834   3400
     128    355    502    882   1296   2175   2785
     256    352    496    892   1286   2191   2793
     512    354    498    886   1288   2193   2794
    1024    356    498    893   1288   2193   2794
    4096    142    233    389    763   1669   2706
   16384    133    231    384    733   1612   2649
   65536    133    233    388    735   1620   2654
