    BusSpeed i686 i686 optimized Tue Mar 21 13:59:09 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2795   2885   2982   4275   5138   7465
      32   3375   3614   3076   4310   5152   7558
      64   3559   3905   3163   4087   5255   7630
     128   3794   4042   3146   4168   5248   7641
     256   2859   3194   3040   4106   5124   7563
     512    133    236    495    895   1386   2609
    1024     71    132    285    532    842   1671
    4096     72    132    289    532    846   1656
   16384     72    133    289    535    849   1677
   65536     72    131    289    536    849   1678
