MemTotal:       31746776 kB
MemFree:        26081784 kB
MemAvailable:   29475608 kB
Buffers:          146028 kB
Cached:          3418944 kB
SwapCached:            0 kB
Active:           787584 kB
Inactive:        3555336 kB
Active(anon):       3036 kB
Inactive(anon):   807916 kB
Active(file):     784548 kB
Inactive(file):  2747420 kB
Unevictable:       18380 kB
Mlocked:               0 kB
SwapTotal:      15873376 kB
SwapFree:       15873376 kB
Dirty:               992 kB
Writeback:             0 kB
AnonPages:        791344 kB
Mapped:           283044 kB
Shmem:             21296 kB
KReclaimable:     244440 kB
Slab:             367156 kB
SReclaimable:     244440 kB
SUnreclaim:       122716 kB
KernelStack:        9776 kB
PageTables:        15528 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    31746764 kB
Committed_AS:    4449396 kB
VmallocTotal:   135290159040 kB
VmallocUsed:       93572 kB
VmallocChunk:          0 kB
Percpu:             6688 kB
HardwareCorrupted:     0 kB
AnonHugePages:    428032 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          65536 kB
CmaFree:           16172 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
