    BusSpeed aarch64 armv8-a+crc optimized Sat Sep 17 12:17:41 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7452   7697  15670  16683  16415  22750
      32   8168   8425  16029  16603  16614  23206
      64   5173   5522  12307  16012  17242  22911
     128   2004   2091   4169   6963   8731  12023
     256   2101   2172   4292   8388  15222  23276
     512   2044   2175   4320   8368  15975  22693
    1024   2026   2190   4338   8586  15957  22780
    4096   1634   1537   3061   6542  12711  22099
   16384   1238   1290   2641   5288   9212  16755
   65536    938   1227   2416   4721   9220  18496
