MemTotal:        1539020 kB
MemFree:          715768 kB
MemAvailable:    1172332 kB
Buffers:           66064 kB
Cached:           545360 kB
SwapCached:            0 kB
Active:           313560 kB
Inactive:         418032 kB
Active(anon):     121068 kB
Inactive(anon):     2144 kB
Active(file):     192492 kB
Inactive(file):   415888 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        665544 kB
HighFree:          17132 kB
LowTotal:         873476 kB
LowFree:          698636 kB
SwapTotal:       1809216 kB
SwapFree:        1809216 kB
Dirty:                44 kB
Writeback:             0 kB
AnonPages:        120184 kB
Mapped:           110780 kB
Shmem:              3052 kB
KReclaimable:      29764 kB
Slab:              47724 kB
SReclaimable:      29764 kB
SUnreclaim:        17960 kB
KernelStack:        1872 kB
PageTables:         4956 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     2578724 kB
Committed_AS:    1354236 kB
VmallocTotal:     122880 kB
VmallocUsed:        5964 kB
VmallocChunk:          0 kB
Percpu:              384 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       53240 kB
DirectMap2M:      854016 kB
