 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Wed Feb  9 21:19:56 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    6946   7594   7533   8257   7712  11376  15025  14996  14108
      16    6201   7289   8201   5685   7200   9494  13794  14004  14890
      32    7602   6558   7832   9271   7562   9057  17383  14847  14334
      64    6736   6547   6962   7523   7485   8792  14882  15956  14991
     128    6600   7300   7630   8127  11843   9556   7926   8583   8268
     256    6384   7095   8179   8105  10078   8832   8991   9384   8081
     512    7640   6522  14774   8610   8136   8804   8926   9030   8993
    1024    6632   7450   8203   8156   8000   8535   7726   8842   9757
    2048    6334   6981   7973   8287   8099   8313   8241   8223   8877
    4096    6287   7403   7161   7996   7994   8457   7563   7803   7176
    8192    6297   6268   9350   7387   6777   9193   5787   7281   7959

                End of test Wed Feb  9 21:20:13 2022

