MemTotal:       31268716 kB
MemFree:        15041864 kB
MemAvailable:   29810904 kB
Buffers:        14364432 kB
Cached:           479308 kB
SwapCached:            0 kB
Active:           407244 kB
Inactive:       14830764 kB
Active(anon):       3424 kB
Inactive(anon):   436880 kB
Active(file):     403820 kB
Inactive(file): 14393884 kB
Unevictable:       18380 kB
Mlocked:               0 kB
SwapTotal:      15634320 kB
SwapFree:       15633808 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        408512 kB
Mapped:           225412 kB
Shmem:             29144 kB
KReclaimable:     346428 kB
Slab:             471776 kB
SReclaimable:     346428 kB
SUnreclaim:       125348 kB
KernelStack:        8960 kB
PageTables:        11580 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    31268676 kB
Committed_AS:    3053892 kB
VmallocTotal:   135290159040 kB
VmallocUsed:       95052 kB
VmallocChunk:          0 kB
Percpu:             6912 kB
HardwareCorrupted:     0 kB
AnonHugePages:    163840 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         262144 kB
CmaFree:           91544 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
