    BusSpeed aarch64 cortex-a76 optimized Tue Jan 24 19:42:46 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7680   7756  15502  20824  22031  24698
      32   8432   8475  15292  20336  21753  24625
      64   7072   7150  13404  18489  20831  24391
     128   2161   4225   7224  11399  15795  23587
     256   1904   3437   6079  11128  15590  23530
     512   1225   2167   4342   8467  15742  23725
    1024   1094   1914   3869   7610  14939  23762
    4096   1015   1698   3417   7086  14133  23685
   16384    545    808   1650   3199   6171  11937
   65536    367    684   1407   2809   5532  11014
