    BusSpeed amd64 x86-64 optimized Mon Oct  3 10:28:43 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  24783  23198  25460  23618  23628  23582
      32  23078  20944  19807  22929  23433  23106
      64   7912   9555  14675  19233  21447  22956
     128   7408   7703  12800  17815  21210  22753
     256   5682   7072  11598  16614  20883  22739
     512   3399   4672   8306  14612  19844  21749
    1024   3161   4439   8471  14377  19961  22121
    4096   3173   4468   8602  14608  20265  22143
   16384   1545   1568   3095   6204  10317  16196
   65536    788   1278   1597   2972   5547  11039
