MemTotal:        7918416 kB
MemFree:          301544 kB
MemAvailable:    2427344 kB
Buffers:          321664 kB
Cached:          2409284 kB
SwapCached:        44608 kB
Active:          1706464 kB
Inactive:        5338516 kB
Active(anon):     429632 kB
Inactive(anon):  4346336 kB
Active(file):    1276832 kB
Inactive(file):   992180 kB
Unevictable:       43396 kB
Mlocked:               0 kB
SwapTotal:        999420 kB
SwapFree:         542312 kB
Dirty:               412 kB
Writeback:             0 kB
AnonPages:       4275968 kB
Mapped:           642056 kB
Shmem:            475312 kB
KReclaimable:     153056 kB
Slab:             274928 kB
SReclaimable:     153056 kB
SUnreclaim:       121872 kB
KernelStack:       22784 kB
PageTables:        55972 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     4958628 kB
Committed_AS:   13817456 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       42096 kB
VmallocChunk:          0 kB
Percpu:            18624 kB
HardwareCorrupted:     0 kB
AnonHugePages:   1150976 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      292456 kB
DirectMap2M:     7866368 kB
DirectMap1G:           0 kB
