MemTotal:        1539404 kB
MemFree:          779168 kB
MemAvailable:    1156860 kB
Buffers:           69064 kB
Cached:           467712 kB
SwapCached:            0 kB
Active:           365384 kB
Inactive:         310844 kB
Active(anon):     140336 kB
Inactive(anon):     2664 kB
Active(file):     225048 kB
Inactive(file):   308180 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        665544 kB
HighFree:          47016 kB
LowTotal:         873860 kB
LowFree:          732152 kB
SwapTotal:       1809216 kB
SwapFree:        1809216 kB
Dirty:                48 kB
Writeback:             0 kB
AnonPages:        139444 kB
Mapped:           122392 kB
Shmem:              3564 kB
KReclaimable:      22440 kB
Slab:              40644 kB
SReclaimable:      22440 kB
SUnreclaim:        18204 kB
KernelStack:        1904 kB
PageTables:         5272 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     2578916 kB
Committed_AS:    1522680 kB
VmallocTotal:     122880 kB
VmallocUsed:        5940 kB
VmallocChunk:          0 kB
Percpu:              384 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       51192 kB
DirectMap2M:      856064 kB
