    BusSpeed i686 i386 optimized Tue Mar 21 12:17:15 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2407   2462   2576   3654   4421   6426
      32   2895   3059   2631   3581   4472   6527
      64   3028   3341   2710   3481   4517   6552
     128   3062   3475   2725   3449   4479   6535
     256   2431   2730   2554   3498   4336   6377
     512    184    329    651   1185   1779   3169
    1024     71    128    284    507    827   1619
    4096     72     59    285    516    820   1628
   16384     72    131    270    518    833   1632
   65536     71    131    287    518    833   1630
