 ##########################################

   Memory Reading Speed Test i686 i386 optimized Tue Mar 21 12:49:06 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12769   5469   7012  13518   7275   6535   7005   4109   4773
      16    8094   4795   5697   9040   5096   5517   5772   3444   3530
      32    7730   4677   5761   8501   5195   5542   5670   3288   3374
      64    7560   4595   5764   8599   4993   5439   5674   3218   3312
     128    7413   4541   5682   8581   4974   5313   5652   3183   3260
     256    4372   3379   3843   4670   3580   3693   2730   2128   2168
     512    2373   2178   2282   2396   2209   2269   1279   1157   1156
    1024    1302   1293   1295   1302   1270   1296    660    652    656
    2048    1284   1278   1285   1283   1279   1283    648    649    648
    4096    1352   1327   1343   1342   1339   1347    679    682    661
    8192    1362   1348   1361   1358   1353   1361    688    686    688

                End of test Tue Mar 21 12:49:24 2023

