    BusSpeed amd64 x86-64 optimized Sun Sep  4 20:55:41 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  27478  28168  32620  33104  33255  33525
      32  23649  22328  26680  33042  33192  33147
      64   8561   8541  17196  27863  28383  33618
     128   8737   8742  17317  28027  28459  33771
     256   8701   8746  17432  28093  28540  33843
     512   7763   7572  14433  25123  27484  33083
    1024   6703   6490  12499  21766  27579  33088
    4096   6108   6450  12233  20234  26796  32258
   16384   2540   2920   5582   9167  14749  22728
   65536   1040   1369   3247   6292   9824  17978
