MemTotal:        3889428 kB
MemFree:         1725896 kB
MemAvailable:    2871044 kB
Buffers:          110100 kB
Cached:          1265024 kB
SwapCached:         9076 kB
Active:           720708 kB
Inactive:        1113928 kB
Active(anon):      94432 kB
Inactive(anon):   449584 kB
Active(file):     626276 kB
Inactive(file):   664344 kB
Unevictable:       33052 kB
Mlocked:              16 kB
SwapTotal:       7812496 kB
SwapFree:        7724188 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        487472 kB
Mapped:           160328 kB
Shmem:             84504 kB
KReclaimable:     113340 kB
Slab:             180764 kB
SReclaimable:     113340 kB
SUnreclaim:        67424 kB
KernelStack:        6148 kB
PageTables:        11944 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     9757208 kB
Committed_AS:    3344284 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       37416 kB
VmallocChunk:          0 kB
Percpu:             1600 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      270584 kB
DirectMap2M:     3807232 kB
