MemTotal:       12481616 kB
MemFree:        10589616 kB
Buffers:          113248 kB
Cached:          1275216 kB
SwapCached:            0 kB
Active:           832384 kB
Inactive:         875200 kB
Active(anon):     321296 kB
Inactive(anon):     1440 kB
Active(file):     511088 kB
Inactive(file):   873760 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:       1503216 kB
SwapFree:        1503216 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        318352 kB
Mapped:           142160 kB
Shmem:              3632 kB
Slab:             100288 kB
SReclaimable:      81376 kB
SUnreclaim:        18912 kB
KernelStack:        9248 kB
PageTables:         9200 kB
Quicklists:         4048 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     7744016 kB
Committed_AS:    1307968 kB
VmallocTotal:   137429633024 kB
VmallocUsed:       48240 kB
VmallocChunk:   137429558816 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:     262144 kB
