MemTotal:        7388200 kB
MemFree:          932856 kB
MemAvailable:    7215848 kB
Buffers:          209688 kB
Cached:          5743900 kB
SwapCached:            0 kB
Active:          1045112 kB
Inactive:        4934812 kB
Active(anon):       1608 kB
Inactive(anon):    26412 kB
Active(file):    1043504 kB
Inactive(file):  4908400 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         26364 kB
Mapped:            48160 kB
Shmem:              1684 kB
KReclaimable:     417180 kB
Slab:             458216 kB
SReclaimable:     417180 kB
SUnreclaim:        41036 kB
KernelStack:        1488 kB
PageTables:         1240 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     3694100 kB
Committed_AS:     219128 kB
VmallocTotal:   67108863 kB
VmallocUsed:        1620 kB
VmallocChunk:          0 kB
Percpu:              640 kB
CmaTotal:         655360 kB
CmaFree:           43852 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
