    BusSpeed riscv64 rv64g-opt optimized Mon Feb 21 13:52:06 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2670   2878   3487   3457   3730   3739
      32   1459   1483   2151   3494   3614   3669
      64    209    209    425    773   1281   1909
     128    179    180    358    661   1123   1728
     256    176    177    355    651   1110   1713
     512    177    178    355    651   1110   1713
    1024    175    177    354    648   1106   1705
    4096     24     23     47     94    185    352
   16384     19     19     39     77    152    289
   65536     19     19     39     77    152    288
