    BusSpeed riscv64 rv64g-opt optimized Mon Feb 21 13:52:49 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2671   2882   3487   3480   3725   3737
      32   1460   1486   2152   3496   3605   3669
      64    209    209    425    770   1280   1909
     128    180    180    359    656   1124   1730
     256    176    177    355    650   1111   1714
     512    177    178    355    650   1109   1712
    1024    175    176    354    647   1104   1706
    4096     23     23     47     93    183    348
   16384     19     19     39     77    152    289
   65536     19     19     39     77    153    288
