MemTotal:        1539500 kB
MemFree:          696632 kB
MemAvailable:    1164744 kB
Buffers:          140540 kB
Cached:           468284 kB
SwapCached:            0 kB
Active:           386772 kB
Inactive:         338944 kB
Active(anon):     117800 kB
Inactive(anon):     1392 kB
Active(file):     268972 kB
Inactive(file):   337552 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        665544 kB
HighFree:          71816 kB
LowTotal:         873956 kB
LowFree:          624816 kB
SwapTotal:       1809216 kB
SwapFree:        1809216 kB
Dirty:                40 kB
Writeback:             0 kB
AnonPages:        116908 kB
Mapped:           118596 kB
Shmem:              2280 kB
KReclaimable:      56728 kB
Slab:              73852 kB
SReclaimable:      56728 kB
SUnreclaim:        17124 kB
KernelStack:        1816 kB
PageTables:         4900 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     2578964 kB
Committed_AS:    1413760 kB
VmallocTotal:     122880 kB
VmallocUsed:        5616 kB
VmallocChunk:          0 kB
Percpu:              384 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       53240 kB
DirectMap2M:      854016 kB
