 ##########################################

   Memory Reading Speed Test i686 i386 optimized Tue Mar 21 17:14:09 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    6939   3436   4354   8224   3735   4327   3664   2038   2617
      16    5300   3096   3704   5919   3279   3701   3299   1880   2289
      32    5051   3040   3685   6000   3210   3672   3283   1845   2224
      64    5048   2903   3662   5898   3198   3655   3379   1867   2180
     128    5106   2892   3566   5747   3204   3587   3189   1810   2155
     256    1482   1379   1403   1495   1425   1429    753    740    751
     512    1078   1019   1059   1071   1047   1057    544    536    526
    1024     970    950    958    965    951    957    488    482    482
    2048    1023   1009   1015   1001   1011   1016    513    510    509
    4096    1055   1040   1047   1050   1044   1046    531    528    527
    8192    1033   1026   1026   1035   1026   1028    512    518    517

                End of test Tue Mar 21 17:14:26 2023

