 ##########################################

   Memory Reading Speed Test i686 i686 optimized Tue Mar 21 17:16:39 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7264   3595   4459   8350   3613   4428   4617   2336   2668
      16    5443   3171   3737   5938   3232   3797   3717   2115   2301
      32    5195   3027   3706   5934   3198   3790   3661   2075   2230
      64    4971   2954   3678   5849   3180   3760   3659   2075   2205
     128    4890   2820   3659   5688   3157   3729   3550   2071   2161
     256    1777   1604   1729   1836   1698   1733    819    795    802
     512     989    961    983    989    979    983    496    493    496
    1024     994    983    982    992    980    982    488    492    492
    2048    1019   1007   1009   1016   1005   1009    512    507    508
    4096    1041   1046   1045   1057   1046   1050    533    528    529
    8192    1033   1016   1024   1032   1004   1025    520    516    516

                End of test Tue Mar 21 17:16:55 2023

