MemTotal:       16283248 kB
MemFree:         9999804 kB
MemAvailable:   12845712 kB
Buffers:           97132 kB
Cached:          3332796 kB
SwapCached:            0 kB
Active:          1401584 kB
Inactive:        4205308 kB
Active(anon):       9740 kB
Inactive(anon):  2573572 kB
Active(file):    1391844 kB
Inactive(file):  1631736 kB
Unevictable:      315816 kB
Mlocked:             112 kB
SwapTotal:      16282620 kB
SwapFree:       16282620 kB
Dirty:                52 kB
Writeback:             0 kB
AnonPages:       2417688 kB
Mapped:           542428 kB
Shmem:            406348 kB
KReclaimable:     147928 kB
Slab:             228216 kB
SReclaimable:     147928 kB
SUnreclaim:        80288 kB
KernelStack:       10512 kB
PageTables:        29252 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24424244 kB
Committed_AS:    6889116 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       48212 kB
VmallocChunk:          0 kB
Percpu:             5760 kB
HardwareCorrupted:     0 kB
AnonHugePages:   1615872 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      201460 kB
DirectMap2M:    16465920 kB
