MemTotal:       31979312 kB
MemFree:        23474464 kB
MemAvailable:   26711772 kB
Buffers:          281788 kB
Cached:          3383256 kB
SwapCached:            0 kB
Active:          1153004 kB
Inactive:        6183028 kB
Active(anon):       7740 kB
Inactive(anon):  3911724 kB
Active(file):    1145264 kB
Inactive(file):  2271304 kB
Unevictable:       18728 kB
Mlocked:           18728 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                28 kB
Writeback:             0 kB
AnonPages:       3689812 kB
Mapped:          1152664 kB
Shmem:            255876 kB
KReclaimable:     281200 kB
Slab:             596200 kB
SReclaimable:     281200 kB
SUnreclaim:       315000 kB
KernelStack:       22960 kB
PageTables:        57060 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    18086804 kB
Committed_AS:   14337336 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      218232 kB
VmallocChunk:          0 kB
Percpu:            42240 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      863760 kB
DirectMap2M:    11870208 kB
DirectMap1G:    19922944 kB
