MemTotal:       33181024 kB
MemFree:        31287920 kB
MemAvailable:   30405296 kB
Buffers:           75376 kB
Cached:           525104 kB
SwapCached:            0 kB
Active:           172304 kB
Inactive:         616256 kB
Active(anon):      12432 kB
Inactive(anon):   198688 kB
Active(file):     159872 kB
Inactive(file):   417568 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:      83886064 kB
SwapFree:       83886064 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        188080 kB
Mapped:           180096 kB
Shmem:             23040 kB
KReclaimable:      64352 kB
Slab:             200592 kB
SReclaimable:      64352 kB
SUnreclaim:       136240 kB
KernelStack:        5008 kB
PageTables:         7968 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    100476576 kB
Committed_AS:     763552 kB
VmallocTotal:   136364875712 kB
VmallocUsed:       41952 kB
VmallocChunk:          0 kB
Percpu:             4352 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:     98304 kB
FilePmdMapped:     32768 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:      32768 kB
Hugetlb:               0 kB
