    BusSpeed aarch64 cortex-a78 optimized Wed Jan 25 10:44:52 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7758   7773   8498   8780   8782  43501
      32   8368   8459   8497   8780   8779  42975
      64   7024   6985   8684   8772   8772  42214
     128   2159   4271   7024   8767   8770  30409
     256   1647   2854   5545   8668   8763  29579
     512   1229   2163   4295   8249   8765  29331
    1024   1092   1895   3821   7468   8768  28661
    4096   1011   1690   3340   7028   8694  27431
   16384    508    817   1629   3129   5651  11509
   65536    367    690   1404   2797   5505  11050
