MemTotal:       31268716 kB
MemFree:         9275512 kB
MemAvailable:   29495520 kB
Buffers:         6646348 kB
Cached:         13234872 kB
SwapCached:            0 kB
Active:          2609308 kB
Inactive:       17719704 kB
Active(anon):      50644 kB
Inactive(anon):   597764 kB
Active(file):    2558664 kB
Inactive(file): 17121940 kB
Unevictable:       18380 kB
Mlocked:               0 kB
SwapTotal:      15634320 kB
SwapFree:       15633808 kB
Dirty:                68 kB
Writeback:             0 kB
AnonPages:        459928 kB
Mapped:           285708 kB
Shmem:            193340 kB
KReclaimable:     914496 kB
Slab:            1131044 kB
SReclaimable:     914496 kB
SUnreclaim:       216548 kB
KernelStack:        9840 kB
PageTables:        12788 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    31268676 kB
Committed_AS:    3669764 kB
VmallocTotal:   135290159040 kB
VmallocUsed:       97340 kB
VmallocChunk:          0 kB
Percpu:             9936 kB
HardwareCorrupted:     0 kB
AnonHugePages:    174080 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         262144 kB
CmaFree:             464 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
