    BusSpeed aarch64 cortex-a78 optimized Wed Jan 25 10:44:42 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7761   7773   8498   8782   8774  43175
      32   8357   8437   8490   8774   8772  42948
      64   7003   6984   8686   8771   8772  42184
     128   1668   2848   5178   8413   8754  29717
     256   1636   2882   5437   8372   8753  29433
     512   1221   2167   4309   8289   8762  30109
    1024   1081   1891   3806   7449   8764  28833
    4096   1011   1698   3336   7034   8734  27768
   16384    544    817   1622   3126   5969  12159
   65536    367    690   1401   2790   5342  10991
