    BusSpeed aarch64 armv8.2-a optimized Tue Jan 18 10:33:20 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   8840   5964   6657   6896   7011   9030
      32   9825   6546   6708   6927   7023   9002
      64   8678   6083   6830   6912   6997   9001
     128   4031   3919   5759   6238   6572   8601
     256   3838   3296   5439   6045   6540   8572
     512   2547   2286   3387   4643   5993   8203
    1024   1531   1450   2226   3460   4920   7694
    4096   1297   1327   2307   3753   4901   7383
   16384   1182   1231   1980   3293   4746   6888
   65536    848    918   1331   2285   3816   5448
