    BusSpeed aarch64 armv8-a+crc optimized Tue Jan 18 10:34:19 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   8856   5952   6709   6902   7007   8979
      32   9823   6548   6717   6916   7032   8993
      64   8749   6015   6813   6911   7004   9005
     128   4028   3881   5666   6354   6588   8602
     256   3913   3719   5794   6240   6579   8605
     512   2821   2786   4151   5263   6328   8414
    1024   1572   1562   2445   3776   5214   7779
    4096   1298   1342   2298   3695   4893   7360
   16384   1183   1238   1942   3287   4805   6898
   65536    847    921   1307   2278   3824   5362
