    BusSpeed aarch64 native optimized Tue Jan 18 10:36:28 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   8837   5993   6685   6901   6992   8977
      32   9825   6599   6707   6937   6998   8984
      64   8806   6047   6823   6921   7004   8987
     128   4035   3696   5766   6244   6575   8592
     256   3936   3711   5475   6279   6616   8655
     512   2949   2727   3885   5108   6110   8346
    1024   1584   1568   2446   3810   5246   7611
    4096   1297   1338   2301   3755   4963   7334
   16384   1185   1238   2010   3222   4594   6759
   65536    847    924   1351   2287   3657   5365
