MemTotal:       329134708 kB
MemFree:        319157244 kB
MemAvailable:   324502780 kB
Buffers:          535072 kB
Cached:          5904444 kB
SwapCached:            0 kB
Active:          2746704 kB
Inactive:        4117892 kB
Active(anon):     425548 kB
Inactive(anon):     7260 kB
Active(file):    2321156 kB
Inactive(file):  4110632 kB
Unevictable:       17160 kB
Mlocked:           17160 kB
SwapTotal:       8388604 kB
SwapFree:        8388604 kB
Dirty:               272 kB
Writeback:             0 kB
AnonPages:        442132 kB
Mapped:           178080 kB
Shmem:             11808 kB
KReclaimable:     751880 kB
Slab:            1453760 kB
SReclaimable:     751880 kB
SUnreclaim:       701880 kB
KernelStack:       23296 kB
PageTables:        10012 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    172955956 kB
Committed_AS:    3030436 kB
VmallocTotal:   135290159040 kB
VmallocUsed:      273472 kB
VmallocChunk:          0 kB
Percpu:           117888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:              28 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
