MemFullSize:    67108864 kB
MemTotal:       65858108 kB
MemFree:         8015316 kB
MemAvailable:   64130260 kB
Buffers:          531192 kB
Cached:         53399624 kB
SwapCached:            0 kB
Active:          2008596 kB
Inactive:       52272208 kB
Active(anon):     350428 kB
Inactive(anon):     1468 kB
Active(file):    1658168 kB
Inactive(file): 52270740 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:        349768 kB
Mapped:            64420 kB
Shmem:              1912 kB
KReclaimable:    2837900 kB
Slab:            2925768 kB
SReclaimable:    2837900 kB
SUnreclaim:        87868 kB
KernelStack:       18288 kB
PageTables:         5824 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    32666908 kB
Committed_AS:    7996476 kB
VmallocTotal:   17179869184 kB
VmallocUsed:        9328 kB
VmallocChunk:          0 kB
Percpu:             2240 kB
AnonHugePages:    317440 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:     256
HugePages_Free:      256
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:          524288 kB
