MemTotal:        8118100 kB
MemFree:         4021824 kB
MemAvailable:    7807436 kB
Buffers:          135684 kB
Cached:          3433932 kB
SwapCached:            0 kB
Active:           764768 kB
Inactive:        2866608 kB
Active(anon):       2972 kB
Inactive(anon):    62100 kB
Active(file):     761796 kB
Inactive(file):  2804508 kB
Unevictable:          80 kB
Mlocked:              80 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               172 kB
Writeback:             0 kB
AnonPages:         61936 kB
Mapped:            54548 kB
Shmem:              3260 kB
KReclaimable:     305820 kB
Slab:             341260 kB
SReclaimable:     305820 kB
SUnreclaim:        35440 kB
KernelStack:        2868 kB
PageTables:         2692 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     4059048 kB
Committed_AS:     558632 kB
VmallocTotal:   67108863 kB
VmallocUsed:        7304 kB
VmallocChunk:          0 kB
Percpu:              368 kB
CmaTotal:         524288 kB
CmaFree:          523232 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
