MemTotal:         987976 kB
MemFree:          131080 kB
MemAvailable:     309960 kB
Buffers:           62604 kB
Cached:           675544 kB
SwapCached:            0 kB
Active:           519428 kB
Inactive:         248224 kB
Active(anon):     321096 kB
Inactive(anon):   166964 kB
Active(file):     198332 kB
Inactive(file):    81260 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        105416 kB
HighFree:           1424 kB
LowTotal:         882560 kB
LowFree:          129656 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         29508 kB
Mapped:            20272 kB
Shmem:            458588 kB
Slab:              78800 kB
SReclaimable:      52760 kB
SUnreclaim:        26040 kB
KernelStack:         984 kB
PageTables:         1316 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      493988 kB
Committed_AS:     868500 kB
VmallocTotal:     122880 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       30712 kB
DirectMap2M:      878592 kB
