MemTotal:       33246432 kB
MemFree:        29987488 kB
MemAvailable:   29947440 kB
Buffers:            2192 kB
Cached:          2048288 kB
SwapCached:            0 kB
Active:          1267264 kB
Inactive:        1378880 kB
Active(anon):     603808 kB
Inactive(anon):    27920 kB
Active(file):     663456 kB
Inactive(file):  1350960 kB
Unevictable:        8928 kB
Mlocked:            8928 kB
SwapTotal:       9227440 kB
SwapFree:        9227440 kB
Dirty:                80 kB
Writeback:             0 kB
AnonPages:        596144 kB
Mapped:           205760 kB
Shmem:             32656 kB
Slab:             260784 kB
SReclaimable:      96000 kB
SUnreclaim:       164784 kB
KernelStack:        5696 kB
PageTables:        13920 kB
Quicklists:       131072 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    25850656 kB
Committed_AS:    2799248 kB
VmallocTotal:   136360951775 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
Percpu:             1792 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:      32768 kB
Hugetlb:               0 kB
