MemTotal:       31979312 kB
MemFree:        21845836 kB
MemAvailable:   26890592 kB
Buffers:          338248 kB
Cached:          7294632 kB
SwapCached:            0 kB
Active:          3719628 kB
Inactive:        5277172 kB
Active(anon):    2347884 kB
Inactive(anon):  1449860 kB
Active(file):    1371744 kB
Inactive(file):  3827312 kB
Unevictable:       23972 kB
Mlocked:           23972 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                20 kB
Writeback:             0 kB
AnonPages:       1387992 kB
Mapped:          2088608 kB
Shmem:           2441256 kB
KReclaimable:     306160 kB
Slab:             613192 kB
SReclaimable:     306160 kB
SUnreclaim:       307032 kB
KernelStack:       15616 kB
PageTables:        29924 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    18086804 kB
Committed_AS:    8279792 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      210164 kB
VmallocChunk:          0 kB
Percpu:            43008 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      925200 kB
DirectMap2M:    13905920 kB
DirectMap1G:    17825792 kB
