    BusSpeed aarch64 armv8-a optimized Sat Sep 17 18:15:16 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7429   7691  15622  16713  16609  22870
      32   8172   8369  16130  16799  16608  23033
      64   5164   5402  12360  15686  17007  22845
     128   1974   2088   4176   6840   8751  13046
     256   2104   2172   4296   8345  15234  23563
     512   2030   2179   4321   8421  15969  22894
    1024   2027   2189   4339   8532  15924  22525
    4096   1617   1543   3066   6564  12730  22330
   16384   1232   1381   2622   4994   9175  18627
   65536    936   1255   2434   4713   9272  18160
