    BusSpeed aarch64 native optimized Sat Sep 17 18:19:40 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7435   7694  15784  16519  16513  22815
      32   8193   8413  15989  16491  17191  22879
      64   5167   5534  12725  16237  16831  23413
     128   1977   2093   4158   6773   8739  12423
     256   2104   2173   4323   8395  15650  23040
     512   2039   2180   4320   8383  15809  22400
    1024   2000   2185   4367   8589  15435  22915
    4096   1606   1654   3229   6757  12330  21959
   16384   1198   1373   2649   5215  10215  20243
   65536    921   1201   2389   4670   9166  18091
