    BusSpeed aarch64 armv8.1-a optimized Sat Sep 17 18:16:47 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7451   7702  15684  16577  16616  22960
      32   8193   8419  16055  16611  16616  23101
      64   5159   5480  12686  15781  17027  22745
     128   2025   2092   4140   6964   8942  12744
     256   2103   2175   4305   8336  15380  23428
     512   2044   2179   4348   8422  15777  22740
    1024   2000   2185   4301   8577  15945  22783
    4096   1619   1552   3065   6551  12728  22495
   16384   1252   1345   2678   5352  10206  18444
   65536    928   1250   2443   4696   9331  18448
