    BusSpeed aarch64 native optimized Sat Sep 17 18:19:30 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7447   7701  15680  16571  16752  22959
      32   8165   8416  16052  16868  16809  22838
      64   5166   5528  12590  14825  17030  23182
     128   1991   2089   4201   6964   8928  12700
     256   2090   2176   4322   8385  15322  23294
     512   2040   2180   4317   8425  15633  22905
    1024   2025   2191   4358   8475  15958  22547
    4096   1583   1659   3179   6804  12669  22637
   16384   1226   1366   2660   5137   9166  16606
   65536    905   1218   2389   4626   9240  18119
