MemTotal:        1539180 kB
MemFree:          617992 kB
MemAvailable:    1179724 kB
Buffers:           64568 kB
Cached:           655752 kB
SwapCached:            0 kB
Active:           404352 kB
Inactive:         434064 kB
Active(anon):     119040 kB
Inactive(anon):     1380 kB
Active(file):     285312 kB
Inactive(file):   432684 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        665544 kB
HighFree:           8964 kB
LowTotal:         873636 kB
LowFree:          609028 kB
SwapTotal:       1809216 kB
SwapFree:        1809216 kB
Dirty:                48 kB
Writeback:             0 kB
AnonPages:        118136 kB
Mapped:           117636 kB
Shmem:              2296 kB
KReclaimable:      20924 kB
Slab:              39008 kB
SReclaimable:      20924 kB
SUnreclaim:        18084 kB
KernelStack:        1848 kB
PageTables:         4888 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     2578804 kB
Committed_AS:    1407192 kB
VmallocTotal:     122880 kB
VmallocUsed:        5884 kB
VmallocChunk:          0 kB
Percpu:              384 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       57336 kB
DirectMap2M:      849920 kB
