MemTotal:       131997492 kB
MemFree:        129178616 kB
MemAvailable:   130521284 kB
Buffers:          126240 kB
Cached:          2116656 kB
SwapCached:            0 kB
Active:           827304 kB
Inactive:        1485020 kB
Active(anon):        640 kB
Inactive(anon):    72360 kB
Active(file):     826664 kB
Inactive(file):  1412660 kB
Unevictable:       29696 kB
Mlocked:           26624 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               184 kB
Writeback:             0 kB
AnonPages:         99124 kB
Mapped:            76272 kB
Shmem:              3712 kB
KReclaimable:     197052 kB
Slab:             270996 kB
SReclaimable:     197052 kB
SUnreclaim:        73944 kB
KernelStack:        4352 kB
PageTables:         4588 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65998744 kB
Committed_AS:     667256 kB
VmallocTotal:   534773760 kB
VmallocUsed:       21192 kB
VmallocChunk:          0 kB
Percpu:             7552 kB
AnonHugePages:      1024 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       1024 kB
Hugetlb:               0 kB
DirectMap4k:        8192 kB
DirectMap1M:     4186112 kB
DirectMap2G:    130023424 kB
