    BusSpeed s390x s390x optimized Sun Jul 23 21:59:07 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  16921  16913  16935  16898  17262  17947
      32  13566  14132  15806  16632  17319  17554
      64  16124  15399  18076  16970  17538  17472
     128  12738  15490  16773  16848  17456  17509
     256   4881   8494  12398  16414  16288  17133
     512   5101   8683  12252  16476  14925  16856
    1024   5114   8758  12397  16468  16290  17099
    4096   5129   8628  12245  16406  15967  17087
   16384   1925   3705   5412   9893  16762  16305
   65536   1814   3718   5409   9641  15319  16430
