    BusSpeed ia64 ia64 optimized Tue Feb 15 23:53:02 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2689   3091   4934   6009   6044   6017
      32   1981   2002   2295   3021   3776   4347
      64   1995   2006   2354   3024   3784   4325
     128   1994   2040   2354   3010   3772   4331
     256   1009   1596   1955   2385   2915   3417
     512    793   1306   1682   2059   2467   3046
    1024    802   1233   1626   2011   2392   3041
    4096    156    259    375    576    855   1034
   16384    131    219    321    497    753    910
   65536    130    220    321    497    754    910
