    BusSpeed riscv64 rv64g-opt optimized Sun Oct 22 02:48:17 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5518   5568   6024   6968   6909   7549
      32   1571   2204   3184   4621   5580   6478
      64   1262   1793   2863   4239   5315   6281
     128    733   1083   1919   3194   4275   5341
     256    700   1047   1844   3143   4171   5285
     512    699   1055   1839   3137   4170   5284
    1024    334    563    961   1896   3159   5091
    4096    226    379    641   1329   2486   4421
   16384    202    320    545   1156   2117   3829
   65536    166    254    437   1007   1893   3368
