    BusSpeed riscv64 rv64g optimized Sun Oct 22 02:55:54 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5524   5563   6026   6976   6896   7541
      32   5853   5912   5923   6891   6926   7554
      64   1148   1602   2713   4031   5154   6198
     128    724   1073   1843   2951   4191   5329
     256    710   1050   1845   2905   4150   5340
     512    715   1058   1835   2895   4116   5341
    1024    349    542    942   1878   3233   5174
    4096    241    372    632   1329   2483   4447
   16384    207    305    512   1115   2042   3738
   65536    166    239    419    991   1868   3376
