    BusSpeed riscv64 rv64g optimized Sun Oct 22 02:56:14 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5545   5571   5987   6347   7418   7421
      32   1616   2170   3251   4375   5608   6423
      64    873   1277   2193   3342   4405   5636
     128    799   1182   2017   3139   4260   5521
     256    715   1045   1835   2918   3959   5268
     512    705   1045   1837   2918   3960   5264
    1024    401    634   1107   2057   3304   5075
    4096    236    372    637   1295   2386   4441
   16384    206    312    549   1152   2023   3833
   65536    166    247    445   1004   1823   3401
