    BusSpeed riscv64 rv64g-opt optimized Sun Oct 22 02:51:30 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5509   5570   6025   6974   6901   7542
      32   5849   5899   5934   6943   6929   7556
      64    899   1329   2217   3468   4578   5597
     128    691   1049   1827   3146   4175   5274
     256    693   1047   1842   3140   4166   5289
     512    613    936   1659   2997   4028   5242
    1024    325    550    952   1899   3177   5080
    4096    224    373    630   1308   2451   4353
   16384    202    319    545   1150   2104   3783
   65536    166    254    437   1007   1894   3373
