    BusSpeed riscv64 rv64g optimized Sun Oct 22 02:57:16 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5546   5571   5988   6345   7415   7423
      32   5880   5906   6104   6313   7441   7435
      64    915   1297   2270   3459   4579   5693
     128    748   1104   1895   3012   4065   5355
     256    709   1051   1830   2971   3959   5225
     512    713   1055   1836   2916   3958   5270
    1024    343    496    837   1638   2677   4586
    4096    239    382    651   1327   2463   4535
   16384    214    325    564   1178   2100   3949
   65536    167    247    446   1003   1824   3402
