    BusSpeed riscv64 rv64g optimized Sun Oct 22 02:54:02 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1089   1502   3400   4596   5976   6594
      32   1282   1771   2937   4225   5129   6237
      64    932   1354   2338   3630   4645   5840
     128    774   1138   1940   3207   4271   5478
     256    705   1048   1840   3041   4122   5336
     512    715   1055   1828   3042   4128   5334
    1024    430    666   1140   2221   3460   5175
    4096    240    368    624   1304   2453   4409
   16384    207    307    534   1140   2087   3713
   65536    166    239    422    988   1825   3422
