    BusSpeed riscv64 rv64g optimized Tue Feb 22 01:23:20 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2837   3151   3496   3713   3732   3742
      32   1470   1526   2113   3501   3618   3672
      64    209    209    425    774   1283   1912
     128    180    180    359    662   1125   1727
     256    176    177    355    652   1110   1713
     512    177    178    355    651   1110   1710
    1024    175    177    354    647   1105   1703
    4096     23     23     47     93    183    348
   16384     19     19     39     77    153    289
   65536     19     19     39     77    152    288
