 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Tue Feb 22 02:21:40 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1414   1675   1873   1415   1674   2122   1986   1326   1326
      16    1415   1675   1872   1414   1677   2122   1988   1326   1327
      32    1403   1663   1854   1402   1661   2065   1968   1316   1317
      64     830    909    971    829    903   1028    710    606    612
     128     768    834    886    766    829    934    628    544    549
     256     761    825    876    759    820    923    618    538    542
     512     758    825    876    758    820    923    617    536    541
    1024     713    777    822    717    773    862    566    497    500
    2048     506    550    572    522    546    594    355    327    328
    4096     272    280    286    272    280    292    158    152    152
    8192     236    243    247    236    242    251    134    130    130

                End of test Tue Feb 22 02:22:01 2022

