    BusSpeed riscv64 rv64g-opt optimized Tue Feb 22 01:24:14 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2978   3244   3621   3814   3841   3832
      32   1505   1550   2147   3603   3721   3779
      64    209    209    426    778   1295   1940
     128    180    181    359    665   1134   1755
     256    176    177    355    655   1120   1737
     512    177    178    355    654   1117   1735
    1024    176    177    354    651   1114   1730
    4096     24     23     48     94    184    352
   16384     19     19     39     77    153    289
   65536     19     19     39     77    153    288
