 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Tue Feb 22 02:24:22 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1391   3104   3740   1390   2961   3737   1981   1323   3719
      16    1391   3107   3745   1392   2962   3735   1985   1324   3734
      32    1381   3083   3716   1380   2938   3693   1967   1315   3700
      64     822   1766   1906    824   1765   1909    709    624    843
     128     761   1626   1732    763   1630   1737    628    563    726
     256     755   1611   1714    757   1617   1716    619    555    714
     512     753   1602   1713    756   1611   1715    617    554    713
    1024     746   1592   1700    751   1604   1701    616    554    710
    2048     546   1184   1217    574   1180   1224    408    380    430
    4096     272    533    548    272    535    547    158    153    163
    8192     236    411    423    236    411    423    134    131    138

                End of test Tue Feb 22 02:24:42 2022

