MemTotal:       31979300 kB
MemFree:        25750180 kB
MemAvailable:   29347972 kB
Buffers:          234060 kB
Cached:          3615108 kB
SwapCached:            0 kB
Active:          1319736 kB
Inactive:        3854048 kB
Active(anon):       4412 kB
Inactive(anon):  1368100 kB
Active(file):    1315324 kB
Inactive(file):  2485948 kB
Unevictable:       13572 kB
Mlocked:           13572 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:       1338416 kB
Mapped:           989692 kB
Shmem:             55124 kB
KReclaimable:     257152 kB
Slab:             541648 kB
SReclaimable:     257152 kB
SUnreclaim:       284496 kB
KernelStack:       15504 kB
PageTables:        24216 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    18086796 kB
Committed_AS:    5823660 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      210740 kB
VmallocChunk:          0 kB
Percpu:            42880 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      773648 kB
DirectMap2M:     9863168 kB
DirectMap1G:    22020096 kB
